id,"ratid","annot","ts_id","session",start,end,duration,"age","sex","yearsofedu","job","imcscreening","imc1","imc2","imc3","imc4","imc5","imc6","imc7","feedback",done,N_ratings,N_aspects,imc_counter,break_start,"break_status","qual_focused","qual_effort",do_imc,screening_ok,first,rating_group
101,"rt22a4f3ho","rsr_sim1",NULL,"t22a4f3horg1d9i2ibeqd5b7v3",1559139489,NULL,NULL,"33","male","14","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,18
102,"rfp03s9dn0","rsr_sim1",NULL,"fp03s9dn0r7hd6ngdai1qsloc6",1559139612,NULL,NULL,"32","male","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,5
103,"r2bmu7u51d","rsr_sim1",NULL,"2bmu7u51dga3e0eroou7c5g7i7",1559140654,1559142099,1445,"29","male","15","employed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","91","90",1,1,0,12
104,"rmcovgmd7v","rsr_sim1",NULL,"mcovgmd7vdj18lr3esa90h23i7",1559142688,1559144608,1920,"31","female","13","selfemployed","correct","correct","correct","correct","correct","correct","correct","correct","",1,204,4286,0,0,"none","97","100",1,1,0,21
105,"ru2v82gfba","rsr_sim1",NULL,"u2v82gfbavagk5qcg75d8idi24",1559148666,NULL,NULL,"67","female","16","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,204,4286,0,0,"none",NULL,NULL,1,0,0,18
106,"rb43q4g8jp","rsr_sim1",NULL,"b43q4g8jppavjriefhuoe93sr2",1559154651,1559157371,2720,"49","female","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","This was a very interesting study. I did find myself wondering how different participants would have different interpretations of the statements. Thank you and best of luck!",1,204,4286,0,0,"none","100","100",1,1,0,18
107,"rdnabo9uo8","rsr_sim1",NULL,"dnabo9uo8cpncq2pbnh7ofphi7",1559154728,1559155891,1163,"39","male","14","employed","correct","correct","correct","correct","correct","correct","correct","correct","Loading was slow, made it much longer. Most statements were so similar it appeared to be busy work and many were repeated over and over.",1,204,4286,0,0,"none","93","100",1,1,0,5
108,"rbvouflrr4","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"42","female","16","unemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
109,"rbhase9hie","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"42","female","16","unemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
110,"r1698sfipn","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"28","male","16","selfemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
111,"rs1n4fodo9","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"28","male","16","selfemployed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
112,"r1kf8mkuvs","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"26","male","16","student","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
113,"rdsoj0vtmj","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"31","male","14","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
114,"rp2ljtdqc3","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"31","male","14","employed","wrong",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
115,"r43bm2s114","rsr_sim1",NULL,"screening",NULL,NULL,NULL,"31","male","14","employed","correct",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0
